air_temp,cloud_opacity,ghi,period_end,period
14,21,67,2025-04-25T17:00:00Z,PT1H
13,16,2,2025-04-25T18:00:00Z,PT1H
12,22,0,2025-04-25T19:00:00Z,PT1H
12,17,0,2025-04-25T20:00:00Z,PT1H
11,15,0,2025-04-25T21:00:00Z,PT1H
10,13,0,2025-04-25T22:00:00Z,PT1H
10,12,0,2025-04-25T23:00:00Z,PT1H
10,11,0,2025-04-26,PT1H
10,8,0,2025-04-26T01:00:00Z,PT1H
10,0,0,2025-04-26T02:00:00Z,PT1H
10,0,0,2025-04-26T03:00:00Z,PT1H
10,0,13,2025-04-26T04:00:00Z,PT1H
11,3,127,2025-04-26T05:00:00Z,PT1H
13,0,307,2025-04-26T06:00:00Z,PT1H
15,0,485,2025-04-26T07:00:00Z,PT1H
16,0,640,2025-04-26T08:00:00Z,PT1H
17,1,748,2025-04-26T09:00:00Z,PT1H
17,9,757,2025-04-26T10:00:00Z,PT1H
17,22,665,2025-04-26T11:00:00Z,PT1H
18,35,524,2025-04-26T12:00:00Z,PT1H
17,46,387,2025-04-26T13:00:00Z,PT1H
16,53,278,2025-04-26T14:00:00Z,PT1H
14,62,162,2025-04-26T15:00:00Z,PT1H
12,64,83,2025-04-26T16:00:00Z,PT1H
9,54,36,2025-04-26T17:00:00Z,PT1H
8,50,1,2025-04-26T18:00:00Z,PT1H
9,48,0,2025-04-26T19:00:00Z,PT1H
9,47,0,2025-04-26T20:00:00Z,PT1H
9,50,0,2025-04-26T21:00:00Z,PT1H
8,51,0,2025-04-26T22:00:00Z,PT1H
8,50,0,2025-04-26T23:00:00Z,PT1H
8,52,0,2025-04-27,PT1H
8,52,0,2025-04-27T01:00:00Z,PT1H
8,53,0,2025-04-27T02:00:00Z,PT1H
8,55,0,2025-04-27T03:00:00Z,PT1H
7,53,8,2025-04-27T04:00:00Z,PT1H
7,57,60,2025-04-27T05:00:00Z,PT1H
7,64,116,2025-04-27T06:00:00Z,PT1H
7,64,179,2025-04-27T07:00:00Z,PT1H
8,64,237,2025-04-27T08:00:00Z,PT1H
8,65,274,2025-04-27T09:00:00Z,PT1H
9,66,287,2025-04-27T10:00:00Z,PT1H
10,66,295,2025-04-27T11:00:00Z,PT1H
9,69,258,2025-04-27T12:00:00Z,PT1H
9,69,237,2025-04-27T13:00:00Z,PT1H
10,68,202,2025-04-27T14:00:00Z,PT1H
10,68,147,2025-04-27T15:00:00Z,PT1H
9,64,99,2025-04-27T16:00:00Z,PT1H
9,47,51,2025-04-27T17:00:00Z,PT1H
9,34,2,2025-04-27T18:00:00Z,PT1H
8,28,0,2025-04-27T19:00:00Z,PT1H
7,26,0,2025-04-27T20:00:00Z,PT1H
6,24,0,2025-04-27T21:00:00Z,PT1H
6,20,0,2025-04-27T22:00:00Z,PT1H
5,19,0,2025-04-27T23:00:00Z,PT1H
5,21,0,2025-04-28,PT1H
4,21,0,2025-04-28T01:00:00Z,PT1H
4,18,0,2025-04-28T02:00:00Z,PT1H
4,18,0,2025-04-28T03:00:00Z,PT1H
4,18,15,2025-04-28T04:00:00Z,PT1H
6,19,124,2025-04-28T05:00:00Z,PT1H
8,20,274,2025-04-28T06:00:00Z,PT1H
11,17,437,2025-04-28T07:00:00Z,PT1H
12,12,601,2025-04-28T08:00:00Z,PT1H
14,10,725,2025-04-28T09:00:00Z,PT1H
15,10,789,2025-04-28T10:00:00Z,PT1H
16,5,861,2025-04-28T11:00:00Z,PT1H
16,0,867,2025-04-28T12:00:00Z,PT1H
16,1,771,2025-04-28T13:00:00Z,PT1H
16,8,594,2025-04-28T14:00:00Z,PT1H
16,13,416,2025-04-28T15:00:00Z,PT1H
15,21,230,2025-04-28T16:00:00Z,PT1H
12,17,88,2025-04-28T17:00:00Z,PT1H
10,8,4,2025-04-28T18:00:00Z,PT1H
8,8,0,2025-04-28T19:00:00Z,PT1H
8,0,0,2025-04-28T20:00:00Z,PT1H
7,0,0,2025-04-28T21:00:00Z,PT1H
7,0,0,2025-04-28T22:00:00Z,PT1H
7,0,0,2025-04-28T23:00:00Z,PT1H
7,0,0,2025-04-29,PT1H
6,0,0,2025-04-29T01:00:00Z,PT1H
6,0,0,2025-04-29T02:00:00Z,PT1H
6,0,0,2025-04-29T03:00:00Z,PT1H
7,0,20,2025-04-29T04:00:00Z,PT1H
8,0,159,2025-04-29T05:00:00Z,PT1H
11,0,346,2025-04-29T06:00:00Z,PT1H
13,0,530,2025-04-29T07:00:00Z,PT1H
14,0,690,2025-04-29T08:00:00Z,PT1H
15,0,811,2025-04-29T09:00:00Z,PT1H
16,0,884,2025-04-29T10:00:00Z,PT1H
17,0,902,2025-04-29T11:00:00Z,PT1H
17,0,866,2025-04-29T12:00:00Z,PT1H
18,0,767,2025-04-29T13:00:00Z,PT1H
18,0,629,2025-04-29T14:00:00Z,PT1H
17,0,459,2025-04-29T15:00:00Z,PT1H
16,3,262,2025-04-29T16:00:00Z,PT1H
14,12,84,2025-04-29T17:00:00Z,PT1H
13,16,4,2025-04-29T18:00:00Z,PT1H
12,16,0,2025-04-29T19:00:00Z,PT1H
12,17,0,2025-04-29T20:00:00Z,PT1H
12,18,0,2025-04-29T21:00:00Z,PT1H
12,18,0,2025-04-29T22:00:00Z,PT1H
10,16,0,2025-04-29T23:00:00Z,PT1H
9,15,0,2025-04-30,PT1H
9,15,0,2025-04-30T01:00:00Z,PT1H
9,15,0,2025-04-30T02:00:00Z,PT1H
9,15,0,2025-04-30T03:00:00Z,PT1H
9,15,18,2025-04-30T04:00:00Z,PT1H
11,12,138,2025-04-30T05:00:00Z,PT1H
13,10,303,2025-04-30T06:00:00Z,PT1H
14,10,469,2025-04-30T07:00:00Z,PT1H
15,6,632,2025-04-30T08:00:00Z,PT1H
17,2,775,2025-04-30T09:00:00Z,PT1H
18,0,855,2025-04-30T10:00:00Z,PT1H
18,0,874,2025-04-30T11:00:00Z,PT1H
18,0,843,2025-04-30T12:00:00Z,PT1H
19,0,752,2025-04-30T13:00:00Z,PT1H
18,0,620,2025-04-30T14:00:00Z,PT1H
18,1,451,2025-04-30T15:00:00Z,PT1H
17,3,265,2025-04-30T16:00:00Z,PT1H
16,10,92,2025-04-30T17:00:00Z,PT1H
14,13,5,2025-04-30T18:00:00Z,PT1H
13,15,0,2025-04-30T19:00:00Z,PT1H
13,16,0,2025-04-30T20:00:00Z,PT1H
12,17,0,2025-04-30T21:00:00Z,PT1H
12,18,0,2025-04-30T22:00:00Z,PT1H
12,19,0,2025-04-30T23:00:00Z,PT1H
12,20,0,2025-05-01,PT1H
11,21,0,2025-05-01T01:00:00Z,PT1H
11,21,0,2025-05-01T02:00:00Z,PT1H
11,22,0,2025-05-01T03:00:00Z,PT1H
12,23,17,2025-05-01T04:00:00Z,PT1H
12,22,120,2025-05-01T05:00:00Z,PT1H
13,22,260,2025-05-01T06:00:00Z,PT1H
14,21,406,2025-05-01T07:00:00Z,PT1H
15,17,559,2025-05-01T08:00:00Z,PT1H
17,12,691,2025-05-01T09:00:00Z,PT1H
18,10,773,2025-05-01T10:00:00Z,PT1H
19,7,811,2025-05-01T11:00:00Z,PT1H
19,1,827,2025-05-01T12:00:00Z,PT1H
20,1,734,2025-05-01T13:00:00Z,PT1H
19,6,570,2025-05-01T14:00:00Z,PT1H
19,10,397,2025-05-01T15:00:00Z,PT1H
18,13,227,2025-05-01T16:00:00Z,PT1H
17,17,80,2025-05-01T17:00:00Z,PT1H
15,19,4,2025-05-01T18:00:00Z,PT1H
14,20,0,2025-05-01T19:00:00Z,PT1H
14,21,0,2025-05-01T20:00:00Z,PT1H
13,21,0,2025-05-01T21:00:00Z,PT1H
12,20,0,2025-05-01T22:00:00Z,PT1H
12,17,0,2025-05-01T23:00:00Z,PT1H
11,14,0,2025-05-02,PT1H
10,12,0,2025-05-02T01:00:00Z,PT1H
10,12,0,2025-05-02T02:00:00Z,PT1H
10,11,0,2025-05-02T03:00:00Z,PT1H
10,10,23,2025-05-02T04:00:00Z,PT1H
12,6,161,2025-05-02T05:00:00Z,PT1H
14,0,353,2025-05-02T06:00:00Z,PT1H
15,1,530,2025-05-02T07:00:00Z,PT1H
16,2,679,2025-05-02T08:00:00Z,PT1H
18,1,804,2025-05-02T09:00:00Z,PT1H
18,4,846,2025-05-02T10:00:00Z,PT1H
18,8,835,2025-05-02T11:00:00Z,PT1H
19,7,806,2025-05-02T12:00:00Z,PT1H
19,8,715,2025-05-02T13:00:00Z,PT1H
19,8,595,2025-05-02T14:00:00Z,PT1H
19,5,454,2025-05-02T15:00:00Z,PT1H
18,5,279,2025-05-02T16:00:00Z,PT1H
16,11,102,2025-05-02T17:00:00Z,PT1H
